"","person","genero","politico","agno_nacimiento"
"1","Gabriela Mistral","femenino",0,1889
"2","Michelle Bachelet","femenino",1,1951
"3","Isabel Allende","femenino",0,1942
"4","Violeta Parra","femenino",0,1917
"5","Nicole","femenino",0,1977
"6","Coté de Pablo","femenino",0,1979
"7","Camila Vallejo","femenino",1,1988
"8","Margot Honecker","femenino",1,1927
"9","Xiye Bastida","femenino",0,2002
"10","Leonor Varela","femenino",0,1972
"11","Lorenza Izzo","femenino",0,1989
"12","Gioconda Belli","femenino",0,1948
"13","Cecilia Bolocco","femenino",0,1965
"14","Ángel Miranda","masculino",0,1906
"15","María Teresa Ruiz","femenino",0,1946
"16","Colin Campbell","masculino",0,1879
"17","Valentina Vargas","femenino",0,1964
"18","Ana Tijoux","femenino",0,1977
"19","Cristina Calderón","femenino",0,1928
"20","Mon Laferte","femenino",0,1983
"21","Grete Mostny","femenino",0,1914
"22","Adelina Gutiérrez","femenino",0,1925
"23","Adriana Hoffmann","femenino",0,1940
"24","Juan Ramsay","masculino",0,1879
"25","Rebeca Matte Bello","femenino",0,1875
"26","Paulina García","femenino",0,1960
"27","Luis Subercaseaux","masculino",0,1882
"28","Hortensia Bussi","femenino",1,1914
"29","Lucía Hiriart","femenino",1,1923
"30","Marta Brunet","femenino",0,1897
"31","Marta Colvin","femenino",0,1907
"32","Elizabeth Avellán Ochoa","femenino",0,1960
"33","Margot Duhalde Sotomayor","femenino",0,1920
"34","Marta Harnecker","femenino",0,1937
"35","Hil Hernández","femenino",0,1983
"36","Luisa Eugenia Navas","femenino",0,1920
"37","Alberto Warnken","masculino",0,1889
"38","Otto Junge","masculino",0,1887
"39","Gladys Marín","femenino",1,1941
"40","Elisa Loncon","femenino",0,1963
"41","Cecilia Morel","femenino",1,1954
"42","Adriana Salvatierra","femenino",1,1989
"43","Teresa Wilms Montt","femenino",0,1893
"44","María Luisa Bombal","femenino",0,1910
"45","Margot Loyola","femenino",0,1918
"46","Isabel Parra","femenino",0,1939
"47","Diamela Eltit","femenino",0,1947
"48","Catalina Saavedra","femenino",0,1968
"49","Claudia Conserva","femenino",0,1974
"50","Fernanda Urrejola","femenino",0,1981
"51","Eloísa Díaz","femenino",0,1866
"52","María Isabel Allende","femenino",1,1945
"53","Evelyn Matthei","femenino",1,1953
"54","Irina Karamanos","femenino",0,1989
"55","Rodolfo Hammersley","masculino",0,1889
"56","Aurélia de Sousa","femenino",0,1866
"57","Roser Bru","femenino",0,1923
"58","Joan Jara","femenino",0,1927
"59","Cecilia Vicuña","femenino",0,1948
"60","Claudia Di Girolamo","femenino",0,1956
"61","Claudia Acuña","femenino",0,1971
"62","Tonka Tomicic","femenino",0,1976
"63","Camila Moreno","femenino",0,1985
"64","Gloria Montenegro","femenino",0,1941
"65","Arturo Acuña","masculino",0,1881
"66","Carlos Hormazábal","masculino",0,1884
"67","Próspero González","masculino",0,1884
"68","Mónica Jiménez","femenino",1,1940
