pid,wt,t,score,hs,ioo,wg,fair,most,feelings,gender,age,religion,race,inc,pol,educ
0,1,RA2,551,49.19642857142857,0.008035714285714257,0,Unfair,luck,angry,Male,21,none,white,"$50,000-$75,000",1,Some College
1,1,RA2,569,50.80357142857142,0.008035714285714257,1,Unfair,luck,indifferent,Male,29,catholic,white,"$0-$25,000",6,College Degree
0,0,RA2,606,55.596330275229356,0.05596330275229355,1,Unfair,talent,happy,Male,25,other,white,"$50,000-$75,000",6,High School
1,0,RA2,484,44.403669724770644,0.05596330275229355,0,Fair,luck,indifferent,Male,42,protestant,white,"$25,000-$50,000",8,Some College
1,1,RA1,566,NA,NA,0,Unfair,luck,sad,Female,30,protestant,white,"$50,000-$75,000",8,College Degree
1,1,RA1,595,52.98308103294747,0.029830810329474655,1,Fair,luck,happy,Female,27,none,white,"$0-$25,000",4,High School
0,1,RA1,528,47.01691896705254,0.029830810329474655,0,Unfair,luck,sad,Female,53,none,white,"$25,000-$50,000",3,Some College
1,1,PR2,575,50.26223776223776,0.002622377622377603,1,Unfair,rules,happy,Female,33,none,white,"$0-$25,000",1,High School
0,1,PR2,569,49.73776223776224,0.002622377622377603,0,Unfair,luck,indifferent,Male,25,none,white,"$0-$25,000",4,College Degree
1,1,PR1,558,49.68833481745325,0.003116651825467498,0,Unfair,luck,sad,Female,48,protestant,white,"$25,000-$50,000",6,Some College
0,1,PR1,565,50.31166518254675,0.003116651825467498,1,Fair,luck,happy,Male,45,none,white,"$25,000-$50,000",6,College Degree
0,0,RA1,601,52.85839929639402,0.028583992963940208,1,Fair,talent,happy,Male,42,none,white,"$0-$25,000",5,Some College
1,0,RA1,536,47.14160070360598,0.028583992963940208,0,Unfair,luck,sad,Female,32,none,white,"$25,000-$50,000",1,College Degree
0,0,RE2,585,NA,NA,0,Unfair,luck,angry,Male,38,none,white,"$75,000+",6,Some College
1,0,PR2,569,49.78127734033246,0.0021872265966753623,0,Unfair,rules,sad,Female,46,none,white,"$75,000+",6,College Degree
0,1,PR2,574,50.218722659667534,0.0021872265966753623,1,Unfair,luck,happy,Female,39,protestant,white,"$0-$25,000",8,College Degree
0,1,RA1,527,47.26457399103139,0.02735426008968611,0,Unfair,luck,angry,Male,30,none,white,"$50,000-$75,000",1,College Degree
1,0,RA1,588,52.73542600896861,0.02735426008968611,1,Fair,talent,happy,Female,38,catholic,white,"$25,000-$50,000",6,College Degree
0,1,PR2,524,48.56348470806302,0.014365152919369795,1,Fair,rules,happy,Female,34,other,white,"$0-$25,000",6,High School
1,1,PR2,555,51.43651529193698,0.014365152919369795,0,Unfair,luck,sad,Female,38,catholic,white,"$75,000+",4,Graduate/Professional Degree
0,1,RE1,491,45.37892791127542,0.04621072088724587,0,Fair,talent,happy,Female,29,none,white,"$25,000-$50,000",3,College Degree
1,0,RE1,591,54.62107208872459,0.04621072088724587,1,Fair,luck,happy,Male,75,protestant,white,"$0-$25,000",4,Some College
1,0,PR1,568,49.824561403508774,0.0017543859649122862,0,Unfair,luck,angry,Male,23,none,latino,"$50,000-$75,000",1,College Degree
0,1,PR1,572,50.175438596491226,0.0017543859649122862,1,Fair,luck,happy,Female,40,protestant,white,"$75,000+",8,College Degree
0,1,RA1,575,48.4006734006734,0.015993265993266004,0,Fair,luck,sad,Female,61,other,white,"$25,000-$50,000",5,High School
1,0,RA1,578,NA,NA,0,Fair,luck,sad,Female,60,catholic,white,"$50,000-$75,000",4,Graduate/Professional Degree
1,0,RA1,613,51.5993265993266,0.015993265993266004,1,Fair,talent,happy,Female,34,protestant,white,"$0-$25,000",6,College Degree
0,0,PR1,562,48.99738448125545,0.01002615518744554,0,Unfair,luck,angry,Male,34,none,white,"$0-$25,000",2,College Degree
0,1,PR2,557,49.776586237712245,0.0022341376228776078,1,Fair,rules,happy,Female,30,other,white,"$75,000+",6,College Degree
1,1,PR1,585,51.002615518744555,0.01002615518744554,1,Unfair,luck,happy,Male,24,none,white,"$0-$25,000",5,Some College
1,1,PR2,562,50.22341376228776,0.0022341376228776078,0,Unfair,luck,indifferent,Female,33,other,white,"$0-$25,000",9,College Degree
0,1,RA2,599,50.76271186440678,0.007627118644067843,0,Fair,luck,sad,Female,46,protestant,white,"$25,000-$50,000",6,Some College
1,0,RE2,629,60.19138755980862,0.10191387559808618,1,Unfair,luck,happy,Male,38,other,white,"$0-$25,000",3,College Degree
0,0,RE2,416,39.80861244019139,0.10191387559808618,0,Unfair,luck,angry,Female,39,none,white,"$25,000-$50,000",5,Some College
1,1,RA2,581,49.23728813559322,0.007627118644067843,1,Fair,luck,happy,Male,33,catholic,white,"$50,000-$75,000",4,College Degree
0,1,RE1,641,58.59232175502742,0.08592321755027421,1,Unfair,rules,happy,Female,37,protestant,latino,"$50,000-$75,000",5,Some College
1,0,RA1,575,49.78354978354979,0.0021645021645021467,1,Fair,luck,happy,Female,34,protestant,white,"$50,000-$75,000",6,College Degree
0,1,RA1,580,50.21645021645021,0.0021645021645021467,0,Fair,luck,happy,Male,35,catholic,white,"$25,000-$50,000",3,Some College
1,0,RE1,543,47.75725593667546,0.02242744063324542,0,Fair,rules,sad,Female,26,other,white,"$25,000-$50,000",9,Some College
1,1,RE1,453,41.40767824497258,0.08592321755027421,0,Unfair,luck,sad,Male,64,none,white,"$25,000-$50,000",5,Graduate/Professional Degree
0,1,PR2,571,50,0,1,Unfair,rules,happy,Male,40,none,white,"$0-$25,000",6,High School
0,1,PR1,521,48.78277153558053,0.01217228464419473,0,Fair,luck,happy,Male,31,none,white,"$25,000-$50,000",2,High School
1,0,PR1,547,51.21722846441947,0.01217228464419473,1,Fair,luck,happy,Male,38,protestant,white,"$0-$25,000",9,College Degree
0,1,RE1,594,52.242744063324544,0.02242744063324542,1,Fair,luck,happy,Female,36,none,white,"$25,000-$50,000",5,High School
1,1,PR2,571,50,0,0,Fair,luck,indifferent,Female,39,catholic,asian,"$75,000+",5,College Degree
0,0,RE1,587,51.99291408325952,0.019929140832595227,1,Fair,talent,happy,Female,43,protestant,white,"$50,000-$75,000",9,High School
