personLabel,person_ID,genderLabel,nacionalidadLabel,occupationLabel,category,decade,birthyear,birthdate,birthdate2,birthcountry,birthplaceLabel,birthpoint,birthpoint2,lat_birth,lon_birth,deathyear,deathdate,deathplaceLabel,deathpoint,deathpoint2,lat_death,lon_death,languages,image,sitelink,Occupation1,Occupation2,Occupation3,Occupation4,Occupation5,Occupation6,Occupation7,Occupation8,Occupation9,Occupation10,Occupation11,Occupation12,Occupation13,Occupation14,Occupation15,Occupation16,Occupation17,Occupation18,Occupation19,Occupation20,Occupation21,Occupation22,Occupation23,Occupation24
Gabriela Mistral,http://www.wikidata.org/entity/Q80871,femenino,Chile,"poeta, diplomático, escritor, profesor",Arte,1880,1889,1889-04-07T00:00:00Z,4/7/1889,http://www.wikidata.org/entity/Q298,Vicuña,Point(-70.7 -30.016666666),"-30.01666666, -70.7",-30.017,-70.700,1957,1957-01-10T00:00:00Z,Hempstead,Point(-73.617222222 40.704722222),"40.70472222, -73.617222222",40.705,-73.617,119,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Mistral%201945.jpg,https://es.wikipedia.org/wiki/Gabriela_Mistral,poeta, diplomático, escritor, profesor,,,,,,,,,,,,,,,,,,,,
Michelle Bachelet,http://www.wikidata.org/entity/Q320,femenino,Chile,"epidemiólogo, participante del foro internacional, cirujano, pediatra, político",Política,1950,1951,1951-09-29T00:00:00Z,9/29/1951,http://www.wikidata.org/entity/Q298,La Cisterna,Point(-70.664055555 -33.534833333),"-33.53483333, -70.664055555",-33.535,-70.664,,,,,,,,113,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Bachelet%2C%202020%201.1%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Michelle_Bachelet,epidemiólogo, participante del foro internacional, cirujano, pediatra, político,,,,,,,,,,,,,,,,,,,
Isabel Allende,http://www.wikidata.org/entity/Q83566,femenino,Estados Unidos,novelista,Arte,1940,1942,1942-08-02T00:00:00Z,8/2/1942,http://www.wikidata.org/entity/Q419,Lima,Point(-77.0375 -12.06),"-12, -77.0375",-12.000,-77.038,,,,,,,,92,http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20Allende%20Frankfurter%20Buchmesse%202015%20%28cropped%29.JPG,https://es.wikipedia.org/wiki/Isabel_Allende,novelista,,,,,,,,,,,,,,,,,,,,,,,
Violeta Parra,http://www.wikidata.org/entity/Q230499,femenino,Chile,"artista discográfico, pintor, ceramista, bordador, poeta, escultor, escritor, cantautor",Arte,1910,1917,1917-10-04T00:00:00Z,10/4/1917,http://www.wikidata.org/entity/Q298,San Carlos,Point(-71.966666666 -36.416666666),"-36.41666666, -71.966666666",-36.417,-71.967,1967,1967-02-05T00:00:00Z,La Reina,Point(-70.55 -33.45),"-33.4, -70.55",-33.400,-70.550,44,http://commons.wikimedia.org/wiki/Special:FilePath/Parra01f.PNG,https://es.wikipedia.org/wiki/Violeta_Parra,artista discográfico, pintor, ceramista, bordador, poeta, escultor, escritor, cantautor,,,,,,,,,,,,,,,,
Nicole,http://www.wikidata.org/entity/Q69474,femenino,Chile,"compositor de canciones, artista discográfico, guitarrista, actor, cantante",Arte,1970,1977,1977-01-19T00:00:00Z,1/19/1977,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,37,http://commons.wikimedia.org/wiki/Special:FilePath/Nicole%20cantante%202.jpg,https://es.wikipedia.org/wiki/Nicole_(cantante_chilena),compositor de canciones, artista discográfico, guitarrista, actor, cantante,,,,,,,,,,,,,,,,,,,
Coté de Pablo,http://www.wikidata.org/entity/Q230647,femenino,Estados Unidos,"actor de televisión, actor de teatro, actor de voz, modelo, actor de cine",Arte,1970,1979,1979-11-12T00:00:00Z,11/12/1979,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,37,http://commons.wikimedia.org/wiki/Special:FilePath/Cote%20de%20Pablo%20retouch.jpg,https://es.wikipedia.org/wiki/Cot%C3%A9_de_Pablo,actor de televisión, actor de teatro, actor de voz, modelo, actor de cine,,,,,,,,,,,,,,,,,,,
Camila Vallejo,http://www.wikidata.org/entity/Q242230,femenino,Chile,"político, geógrafo, líder estudiantil",Política,1980,1988,1988-04-28T00:00:00Z,4/28/1988,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,36,http://commons.wikimedia.org/wiki/Special:FilePath/Vocer%C3%ADa%20de%20la%20Ministra%20Camila%20Vallejo%20-%202023%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Camila_Vallejo,político, geógrafo, líder estudiantil,,,,,,,,,,,,,,,,,,,,,
Margot Honecker,http://www.wikidata.org/entity/Q76893,femenino,Chile,"político, comunista",Política,1920,1927,1927-04-17T00:00:00Z,4/17/1927,http://www.wikidata.org/entity/Q183,Halle,Point(11.969722222 51.482777777),"51.48277777, 11.969722222",51.483,11.970,2016,2016-05-06T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,31,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20183-1986-0313-300%2C%20Margot%20Honecker%2C%20Minister%20f%C3%BCr%20Volksbildung.jpg,https://es.wikipedia.org/wiki/Margot_Honecker,político, comunista,,,,,,,,,,,,,,,,,,,,,,
Xiye Bastida,http://www.wikidata.org/entity/Q81646058,femenino,México,"activista por el clima, activista",Política,2000,2002,2002-04-18T00:00:00Z,4/18/2002,http://www.wikidata.org/entity/Q96,Atlacomulco,Point(-99.86121 19.81411),"19.8141, -99.86121",19.814,-99.861,,,,,,,,27,http://commons.wikimedia.org/wiki/Special:FilePath/Xiye%20Bastida%2C%202020%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Xiye_Bastida,activista por el clima, activista,,,,,,,,,,,,,,,,,,,,,,
Leonor Varela,http://www.wikidata.org/entity/Q235913,femenino,Francia,"actor de cine, portavoz, actor, modelo",Arte,1970,1972,1972-12-29T00:00:00Z,12/29/1972,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,26,http://commons.wikimedia.org/wiki/Special:FilePath/Leonor%20Varela%282%29.jpg,https://es.wikipedia.org/wiki/Leonor_Varela,actor de cine, portavoz, actor, modelo,,,,,,,,,,,,,,,,,,,,
Lorenza Izzo,http://www.wikidata.org/entity/Q14917756,femenino,Chile,"actor, modelo",Arte,1980,1989,1989-09-19T00:00:00Z,9/19/1989,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,24,http://commons.wikimedia.org/wiki/Special:FilePath/Lorenza%20Izzo%202019%20by%20Glenn%20Francis.jpg,https://es.wikipedia.org/wiki/Lorenza_Izzo,actor, modelo,,,,,,,,,,,,,,,,,,,,,,
Gioconda Belli,http://www.wikidata.org/entity/Q290491,femenino,España,"diarista, poeta, activista, escritor, periodista",Arte,1940,1948,1948-12-09T00:00:00Z,12/9/1948,http://www.wikidata.org/entity/Q811,Managua,Point(-86.273766666 12.154372222),"12.15437222, -86.273766666",12.154,-86.274,,,,,,,,23,http://commons.wikimedia.org/wiki/Special:FilePath/GiocondaBelli.jpeg,https://es.wikipedia.org/wiki/Gioconda_Belli,diarista, poeta, activista, escritor, periodista,,,,,,,,,,,,,,,,,,,
Cecilia Bolocco,http://www.wikidata.org/entity/Q270002,femenino,Chile,"presentador de televisión, participante en concursos de belleza, actor, modelo",Comunicaciones,1960,1965,1965-05-19T00:00:00Z,5/19/1965,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,23,http://commons.wikimedia.org/wiki/Special:FilePath/Cecilia%20Bolocco%20cropped%20image.jpg,https://es.wikipedia.org/wiki/Cecilia_Bolocco,presentador de televisión, participante en concursos de belleza, actor, modelo,,,,,,,,,,,,,,,,,,,,
Ángel Miranda,http://www.wikidata.org/entity/Q21503468,masculino,Chile,"árbitro de fútbol, futbolista",Deporte,1900,1906,1906-04-29T00:00:00Z,4/29/1906,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,2000,2000-01-01T00:00:00Z,,,,,,1,,https://es.wikipedia.org/wiki/%C3%81ngel_Miranda,árbitro de fútbol, futbolista,,,,,,,,,,,,,,,,,,,,,,
María Teresa Ruiz,http://www.wikidata.org/entity/Q5847384,femenino,Chile,"investigador, catedrático, astrónomo",Ciencia y tecnología,1940,1946,1946-09-24T00:00:00Z,9/24/1946,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,22,http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Teresa%20Ruiz%2C%20Premio%20Nacional%20de%20Ciencias%20Exactas%20cropped.jpg,https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Ruiz,investigador, catedrático, astrónomo,,,,,,,,,,,,,,,,,,,,,
Colin Campbell,http://www.wikidata.org/entity/Q9195355,masculino,Chile,"futbolista, entrenador",Deporte,1870,1879,1879-11-18T00:00:00Z,11/18/1879,http://www.wikidata.org/entity/Q419,Lima,Point(-77.0375 -12.06),"-12, -77.0375",-12.000,-77.038,1964,1964-07-28T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,9,http://commons.wikimedia.org/wiki/Special:FilePath/Collin%20Campbell%2C%20Los%20Sports%2C%201926-05-21%20%28167%29.jpg,https://es.wikipedia.org/wiki/Colin_Campbell_(futbolista),futbolista, entrenador,,,,,,,,,,,,,,,,,,,,,,
Valentina Vargas,http://www.wikidata.org/entity/Q260909,femenino,Francia,"cantante, actor de cine, actor",Arte,1960,1964,1964-12-31T00:00:00Z,12/31/1964,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,21,http://commons.wikimedia.org/wiki/Special:FilePath/Valentina%20Vargas%20in%202018.jpg,https://es.wikipedia.org/wiki/Valentina_Vargas,cantante, actor de cine, actor,,,,,,,,,,,,,,,,,,,,,
Ana Tijoux,http://www.wikidata.org/entity/Q954372,femenino,Francia,"cantante, compositor de canciones",Arte,1970,1977,1977-06-12T00:00:00Z,6/12/1977,http://www.wikidata.org/entity/Q142,Lille,Point(3.0575 50.631944444),"50.63194444, 3.0575",50.632,3.058,,,,,,,,20,http://commons.wikimedia.org/wiki/Special:FilePath/MX%20MR%20ANA%20TIJOUX%20%2849632403173%29.jpg,https://es.wikipedia.org/wiki/Ana_Tijoux,cantante, compositor de canciones,,,,,,,,,,,,,,,,,,,,,,
Cristina Calderón,http://www.wikidata.org/entity/Q2658232,femenino,Chile,"lexicógrafo, activista cultural, artesano, etnógrafo, cantante, escritor",Arte,1920,1928,1928-05-24T00:00:00Z,5/24/1928,http://www.wikidata.org/entity/Q298,Puerto Williams,Point(-67.6109 -54.9341),"-54.934, -67.6109",-54.934,-67.611,2022,2022-02-16T00:00:00Z,Hospital Clínico de Magallanes,Point(-70.896232 -53.12215),"-53.1221, -70.896232",-53.122,-70.896,19,http://commons.wikimedia.org/wiki/Special:FilePath/Cristina%20Calder%C3%B3n%20%288639878993%29%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Cristina_Calder%C3%B3n,lexicógrafo, activista cultural, artesano, etnógrafo, cantante, escritor,,,,,,,,,,,,,,,,,,
