person,categoria,genero,agno_nacimiento
Gabriela Mistral,Cultura & Ciencia,femenino,1889
Michelle Bachelet,Política,femenino,1951
Isabel Allende,Cultura & Ciencia,femenino,1942
Violeta Parra,Cultura & Ciencia,femenino,1917
Nicole,Cultura & Ciencia,femenino,1977
Coté de Pablo,Cultura & Ciencia,femenino,1979
Camila Vallejo,Política,femenino,1988
Margot Honecker,Política,femenino,1927
Xiye Bastida,Política,femenino,2002
Leonor Varela,Cultura & Ciencia,femenino,1972
Lorenza Izzo,Cultura & Ciencia,femenino,1989
Gioconda Belli,Cultura & Ciencia,femenino,1948
Cecilia Bolocco,Cultura & Ciencia,femenino,1965
Ángel Miranda,Deporte,masculino,1906
María Teresa Ruiz,Cultura & Ciencia,femenino,1946
Colin Campbell,Deporte,masculino,1879
Valentina Vargas,Cultura & Ciencia,femenino,1964
Ana Tijoux,Cultura & Ciencia,femenino,1977
Cristina Calderón,Cultura & Ciencia,femenino,1928
Mon Laferte,Cultura & Ciencia,femenino,1983
Grete Mostny,Cultura & Ciencia,femenino,1914
Adelina Gutiérrez,Cultura & Ciencia,femenino,1925
Adriana Hoffmann,Cultura & Ciencia,femenino,1940
Juan Ramsay,Deporte,masculino,1879
Rebeca Matte Bello,Cultura & Ciencia,femenino,1875
Paulina García,Cultura & Ciencia,femenino,1960
Luis Subercaseaux,Deporte,masculino,1882
Hortensia Bussi,Otro,femenino,1914
Lucía Hiriart,Política,femenino,1923
Marta Brunet,Cultura & Ciencia,femenino,1897
Marta Colvin,Cultura & Ciencia,femenino,1907
Elizabeth Avellán Ochoa,Cultura & Ciencia,femenino,1960
Margot Duhalde Sotomayor,Cultura & Ciencia,femenino,1920
Marta Harnecker,Cultura & Ciencia,femenino,1937
Hil Hernández,Cultura & Ciencia,femenino,1983
Luisa Eugenia Navas,Cultura & Ciencia,femenino,1920
Alberto Warnken,Deporte,masculino,1889
Otto Junge,Deporte,masculino,1887
Gladys Marín,Política,femenino,1941
Elisa Loncon,Cultura & Ciencia,femenino,1963
Cecilia Morel,Otro,femenino,1954
Adriana Salvatierra,Política,femenino,1989
Teresa Wilms Montt,Cultura & Ciencia,femenino,1893
María Luisa Bombal,Cultura & Ciencia,femenino,1910
Margot Loyola,Cultura & Ciencia,femenino,1918
Isabel Parra,Cultura & Ciencia,femenino,1939
Diamela Eltit,Cultura & Ciencia,femenino,1947
Catalina Saavedra,Cultura & Ciencia,femenino,1968
Claudia Conserva,Cultura & Ciencia,femenino,1974
Fernanda Urrejola,Cultura & Ciencia,femenino,1981
Eloísa Díaz,Cultura & Ciencia,femenino,1866
María Isabel Allende,Política,femenino,1945
Evelyn Matthei,Política,femenino,1953
Irina Karamanos,Cultura & Ciencia,femenino,1989
Rodolfo Hammersley,Deporte,masculino,1889
Aurélia de Sousa,Cultura & Ciencia,femenino,1866
Roser Bru,Cultura & Ciencia,femenino,1923
Joan Jara,Cultura & Ciencia,femenino,1927
Cecilia Vicuña,Cultura & Ciencia,femenino,1948
Claudia Di Girolamo,Cultura & Ciencia,femenino,1956
Claudia Acuña,Cultura & Ciencia,femenino,1971
Tonka Tomicic,Cultura & Ciencia,femenino,1976
