groupId,playerId,fair,T,W,LTC,age,gender
1,2,Fair,RA,True,luck,27,Female
1,1,Unfair,RA,False,luck,53,Female
1,1,Unfair,RA,False,luck,33,Male
1,2,Fair,RA,True,luck,33,Female
1,1,Fair,RA,False,luck,33,Female
1,2,Fair,RA,True,luck,28,Male
1,2,Unfair,RA,False,luck,25,Male
1,1,Unfair,RA,True,luck,46,Male
1,1,Fair,RA,True,luck,30,Female
1,2,Unfair,RA,False,luck,23,Female
2,2,Unfair,RA,False,luck,30,Female
2,1,Fair,RA,True,luck,44,Female
2,2,Unfair,RA,False,luck,60,Male
2,1,Fair,RA,True,luck,65,Female
2,1,Fair,RA,True,luck,33,Male
2,2,Unfair,RA,False,luck,33,Male
2,2,Unfair,RA,False,luck,45,Female
2,1,Fair,RA,True,luck,35,Male
2,2,Fair,RA,True,luck,34,Male
2,1,Unfair,RA,False,luck,25,Female
2,1,Unfair,RA,True,luck,61,Female
2,2,Unfair,RA,False,luck,23,Male
3,1,Unfair,RA,False,luck,30,Male
3,2,Fair,RA,True,talent,38,Female
3,1,Fair,RA,False,luck,30,Female
3,2,Fair,RA,True,talent,22,Female
3,2,Fair,RA,True,luck,36,Female
3,1,Unfair,RA,False,luck,44,Male
3,1,Unfair,RA,False,luck,53,Female
3,2,Fair,RA,True,talent,31,Female
3,1,Unfair,RA,False,luck,46,Female
3,2,Fair,RA,True,talent,27,Male
3,2,Fair,RA,False,talent,43,Male
3,1,Fair,RA,True,talent,40,Female
4,2,Unfair,RA,False,luck,32,Female
4,1,Fair,RA,True,talent,42,Male
4,1,Fair,RA,True,luck,24,Female
4,2,Fair,RA,False,luck,49,Male
4,1,Fair,RA,True,luck,30,Male
4,2,Unfair,RA,False,luck,39,Female
4,2,Fair,RA,False,talent,29,Female
4,1,Unfair,RA,True,luck,26,Male
4,2,Fair,RA,True,talent,31,Female
4,1,Fair,RA,False,talent,37,Female
4,2,Unfair,RA,False,luck,31,Female
4,1,Fair,RA,True,talent,24,Female
5,1,Fair,RA,False,luck,61,Female
5,2,Fair,RA,True,talent,34,Female
5,1,Unfair,RA,False,luck,27,Male
5,2,Fair,RA,True,luck,35,Male
5,1,Unfair,RA,False,rules,37,Female
5,2,Fair,RA,True,rules,45,Male
5,1,Fair,RA,True,talent,35,Male
5,2,Fair,RA,False,luck,44,Female
5,2,Fair,RA,True,luck,26,Male
5,1,Unfair,RA,False,luck,24,Female
5,1,Unfair,RA,False,luck,60,Female
5,2,Fair,RA,True,luck,49,Male
5,2,Fair,RA,False,luck,53,Female
5,1,Unfair,RA,True,luck,29,Male
6,1,Fair,RA,True,talent,20,Male
6,2,Fair,RA,False,luck,60,Female
6,1,Fair,RA,True,talent,24,Male
6,2,Fair,RA,False,talent,59,Female
6,2,Fair,RA,False,talent,55,Female
6,1,Fair,RA,True,luck,55,Male
6,2,Fair,RA,False,rules,45,Female
6,1,Fair,RA,True,talent,54,Female
6,2,Unfair,RA,False,luck,43,Female
6,1,Fair,RA,True,luck,51,Male
7,1,Fair,RA,True,luck,30,Male
7,2,Unfair,RA,False,luck,30,Male
7,1,Unfair,RA,False,luck,26,Female
7,2,Fair,RA,True,talent,39,Male
7,1,Unfair,RA,False,luck,37,Female
7,2,Fair,RA,True,luck,45,Male
7,2,Unfair,RA,False,rules,38,Male
7,1,Unfair,RA,True,luck,26,Male
7,1,Fair,RA,True,luck,32,Male
7,2,Fair,RA,False,luck,33,Male
8,2,Fair,RA,True,rules,30,Female
8,1,Unfair,RA,False,luck,28,Male
8,2,Unfair,RA,False,luck,56,Female
8,1,Fair,RA,True,talent,30,Male
8,1,Fair,RA,True,talent,57,Female
8,2,Unfair,RA,False,luck,37,Female
8,2,Unfair,RA,False,luck,55,Male
8,1,Fair,RA,True,talent,28,Female
8,1,Fair,RA,True,rules,29,Male
8,2,Unfair,RA,False,rules,30,Male
9,2,Fair,RA,True,luck,34,Female
9,1,Fair,RA,False,luck,35,Male
9,2,Unfair,RA,False,luck,36,Male
9,1,Fair,RA,True,luck,27,Female
9,2,Fair,RA,True,talent,32,Female
9,1,Fair,RA,False,talent,36,Female
9,2,Unfair,RA,True,rules,25,Male
9,1,Fair,RA,False,luck,43,Male
9,2,Unfair,RA,False,luck,37,Female
9,1,Unfair,RA,True,luck,37,Male
10,1,Fair,RA,True,talent,50,Female
10,2,Fair,RA,False,luck,36,Female
10,2,Fair,RA,True,rules,60,Female
10,1,Fair,RA,False,luck,40,Female
10,1,Fair,RA,False,luck,37,Male
10,2,Fair,RA,True,luck,27,Male
10,2,Fair,RA,True,talent,36,Male
10,1,Unfair,RA,False,luck,36,Male
11,2,Unfair,RA,False,rules,37,Male
11,1,Fair,RA,True,talent,38,Male
11,2,Fair,RA,True,luck,54,Female
11,1,Fair,RA,False,luck,32,Male
11,1,Fair,RA,True,talent,42,Male
11,2,Fair,RA,False,luck,54,Female
11,2,Fair,RA,True,talent,32,Female
11,1,Fair,RA,False,talent,39,Female
11,1,Unfair,RA,False,luck,40,Male
11,2,Fair,RA,True,talent,27,Female
11,2,Unfair,RA,False,talent,28,Female
11,1,Fair,RA,True,talent,44,Male
12,1,Fair,RA,True,talent,71,Male
12,2,Unfair,RA,False,luck,39,Male
12,1,Fair,RA,True,luck,28,Female
12,2,Fair,RA,False,luck,60,Male
12,1,Fair,RA,True,talent,25,Female
12,2,Unfair,RA,False,luck,45,Male
12,1,Fair,RA,True,talent,69,Female
12,2,Fair,RA,False,luck,42,Male
12,2,Unfair,RA,False,luck,55,Female
12,1,Fair,RA,True,luck,24,Male
13,2,Fair,RA,True,luck,41,Female
13,1,Unfair,RA,False,luck,27,Male
13,2,Fair,RA,True,talent,60,Female
13,1,Unfair,RA,False,luck,60,Female
13,1,Unfair,RA,False,luck,33,Male
13,2,Fair,RA,True,luck,48,Female
13,1,Unfair,RA,False,luck,22,Female
13,2,Unfair,RA,True,luck,41,Male
13,1,Fair,RA,True,talent,27,Male
13,2,Unfair,RA,False,luck,32,Male
13,2,Fair,RA,False,luck,31,Male
13,1,Fair,RA,True,talent,28,Female
14,1,Unfair,RA,False,luck,43,Female
14,2,Fair,RA,True,talent,53,Female
14,1,Fair,RA,True,luck,27,Female
14,2,Fair,RA,False,luck,48,Male
14,1,Fair,RA,True,talent,NA,NA
14,2,Unfair,RA,False,luck,28,Male
14,2,Fair,RA,True,talent,28,Male
14,1,Unfair,RA,False,rules,24,Male
14,1,Fair,RA,True,talent,25,Female
14,2,Unfair,RA,False,luck,36,Male
14,2,Unfair,RA,False,luck,27,Female
14,1,Fair,RA,True,luck,27,Female
15,1,Fair,RA,True,talent,31,Female
15,2,Unfair,RA,False,luck,36,Female
15,2,Unfair,RA,False,luck,38,Female
15,1,Fair,RA,True,luck,37,Male
15,1,Fair,RA,False,luck,38,Female
15,2,Fair,RA,True,talent,27,Female
16,2,Unfair,RA,False,luck,44,Female
16,1,Fair,RA,True,rules,27,Male
17,1,Fair,RA,True,luck,67,Female
17,2,Unfair,RA,False,rules,40,Male
18,1,Fair,RA,True,talent,49,Female
18,2,Unfair,RA,False,luck,27,Male
1,1,Unfair,RA,False,luck,21,Male
1,2,Unfair,RA,True,luck,29,Male
1,1,Unfair,RA,True,luck,39,Male
1,2,Unfair,RA,False,luck,30,Male
1,2,Unfair,RA,False,rules,31,Female
1,1,Fair,RA,True,talent,64,Female
1,1,Fair,RA,True,talent,43,Male
1,2,Unfair,RA,False,luck,33,Male
1,2,Fair,RA,False,luck,45,Male
1,1,Fair,RA,True,luck,25,Male
1,2,Fair,RA,True,talent,37,Male
1,1,Unfair,RA,False,luck,30,Female
2,1,Unfair,RA,True,talent,25,Male
2,2,Fair,RA,False,luck,42,Male
2,2,Fair,RA,True,talent,36,Female
2,1,Fair,RA,False,talent,44,Female
2,1,Unfair,RA,True,luck,29,Male
2,2,Unfair,RA,False,luck,40,Female
2,1,Unfair,RA,False,luck,23,Male
2,2,Fair,RA,True,talent,32,Male
2,1,Fair,RA,True,luck,26,Male
2,2,Unfair,RA,False,rules,32,Male
3,2,Fair,RA,False,talent,59,Female
3,1,Fair,RA,True,luck,49,Female
3,1,Fair,RA,False,rules,44,Male
3,2,Fair,RA,True,talent,39,Male
3,2,Unfair,RA,False,luck,24,Female
