"","Year","Educ_H","Educ_W"
"1",1990,2,4
"2",1990,2,3
"3",1990,2,2
"4",1990,2,3
"5",1990,3,3
"6",1990,2,2
"7",1990,2,2
"8",1990,1,1
"9",1990,1,2
"10",1990,1,2
"11",1990,2,2
"12",1990,2,2
"13",1990,5,3
"14",1990,3,4
"15",1990,3,3
"16",1990,3,2
"17",1990,3,3
"18",1990,3,3
"19",1990,3,2
"20",1990,3,3
"21",1990,3,3
"22",1990,3,2
"23",1990,4,4
"24",1990,3,3
"25",1990,1,1
"26",1990,1,1
"27",1990,2,3
"28",1990,3,3
"29",1990,3,1
"30",1990,3,3
"31",1990,3,3
"32",1990,2,2
"33",1990,2,2
"34",1990,2,2
"35",1990,3,2
"36",1990,3,3
"37",1990,3,2
"38",1990,2,2
"39",1990,4,4
"40",1990,3,3
"41",1990,2,2
"42",1990,2,1
"43",1990,3,4
"44",1990,3,3
"45",1990,5,3
"46",1990,1,1
"47",1990,1,3
"48",1990,3,2
"49",1990,2,2
"50",1990,1,1
"51",1990,1,2
"52",1990,2,2
"53",1990,2,1
"54",1990,1,1
"55",1990,1,1
"56",1990,2,1
"57",1990,2,2
"58",1990,5,3
"59",1990,3,5
"60",1990,2,2
"61",1990,4,4
"62",1990,2,2
"63",1990,1,1
"64",1990,2,1
"65",1990,2,2
"66",1990,2,1
"67",1990,3,2
"68",1990,4,3
"69",1990,2,3
"70",1990,4,3
"71",1990,2,4
"72",1990,5,5
"73",1990,5,3
"74",1990,3,3
"75",1990,3,3
"76",1990,4,4
"77",1990,3,4
"78",1990,2,3
"79",1990,4,3
"80",1990,2,2
"81",1990,1,2
"82",1990,2,2
"83",1990,5,5
"84",1990,5,4
"85",1990,1,3
"86",1990,5,4
"87",1990,3,4
"88",1990,2,1
"89",1990,3,4
"90",1990,5,5
"91",1990,3,4
"92",1990,2,2
"93",1990,2,2
"94",1990,3,2
"95",1990,3,5
"96",1990,3,3
"97",1990,2,2
"98",1990,3,5
"99",1990,3,2
"100",1990,4,4
"101",1990,3,3
"102",1990,3,3
"103",1990,3,3
"104",1990,1,3
"105",1990,2,3
"106",1990,1,2
"107",1990,1,2
"108",1990,2,2
"109",1990,1,1
"110",1990,1,1
"111",1990,3,4
"112",1990,2,2
"113",1990,2,3
"114",1990,4,4
"115",1990,3,3
"116",1990,2,1
"117",1990,2,1
"118",1990,2,2
"119",1990,2,2
"120",1990,5,2
"121",1990,2,2
"122",1990,1,1
"123",1990,2,3
"124",1990,2,1
"125",1990,4,4
"126",1990,2,2
"127",1990,2,3
"128",1990,1,3
"129",1990,2,2
"130",1990,2,2
"131",1990,1,1
"132",1990,2,1
"133",1990,2,2
"134",1990,1,2
"135",1990,2,3
"136",1990,3,2
"137",1990,4,3
"138",1990,2,1
"139",1990,2,2
"140",1990,2,2
"141",1990,5,4
"142",1990,3,3
"143",1990,2,2
"144",1990,3,1
"145",1990,4,2
"146",1990,4,4
"147",1990,2,2
"148",1990,2,2
"149",1990,2,2
"150",1990,2,3
"151",1990,2,2
"152",1990,4,1
"153",1990,2,2
"154",1990,2,1
"155",1990,3,2
"156",1990,2,2
"157",1990,3,3
"158",1990,2,2
"159",1990,2,2
"160",1990,2,2
"161",1990,2,2
"162",1990,4,3
"163",1990,3,3
"164",1990,5,4
"165",1990,5,5
"166",1990,2,1
"167",1990,3,2
"168",1990,5,3
"169",1990,5,3
"170",1990,4,3
"171",1990,1,1
"172",1990,1,2
"173",1990,2,1
"174",1990,2,2
"175",1990,1,2
"176",1990,2,1
"177",1990,2,1
"178",1990,2,3
"179",1990,1,2
"180",1990,2,1
"181",1990,3,3
"182",1990,3,5
"183",1990,3,3
"184",1990,5,4
"185",1990,3,3
"186",1990,4,4
"187",1990,5,4
"188",1990,5,5
"189",1990,4,5
"190",1990,5,3
"191",1990,5,4
"192",1990,5,5
"193",1990,4,4
"194",1990,4,3
"195",1990,2,1
"196",1990,2,2
"197",1990,1,1
"198",1990,2,2
"199",1990,1,1
"200",1990,2,2
"201",1990,3,3
"202",1990,2,1
"203",1990,3,3
"204",1990,2,2
"205",1990,3,3
"206",1990,3,3
"207",1990,3,2
"208",1990,1,1
"209",1990,4,4
"210",1990,5,4
"211",1990,4,3
"212",1990,3,5
"213",1990,5,2
"214",1990,4,5
"215",1990,4,4
"216",1990,5,3
"217",1990,4,2
"218",1990,3,2
"219",1990,2,2
"220",1990,3,3
"221",1990,1,1
"222",1990,4,4
"223",1990,2,2
"224",1990,2,2
"225",1990,2,2
"226",1990,3,2
"227",1990,3,3
"228",1990,2,2
"229",1990,2,1
"230",1990,2,1
"231",1990,2,1
"232",1990,2,3
"233",1990,3,3
"234",1990,2,2
"235",1990,2,2
"236",1990,3,1
"237",1990,2,1
"238",1990,2,2
"239",1990,3,3
"240",1990,2,2
"241",1990,3,3
"242",1990,3,2
"243",1990,5,3
"244",1990,2,3
"245",1990,4,4
"246",1990,3,2
"247",1990,3,3
"248",1990,5,2
"249",1990,2,2
"250",1990,4,4
"251",1990,4,4
"252",1990,2,2
"253",1990,3,4
"254",1990,2,1
"255",1990,4,3
"256",1990,4,5
"257",1990,3,2
"258",1990,5,5
"259",1990,4,4
"260",1990,5,4
"261",1990,1,1
"262",1990,2,1
"263",1990,3,2
"264",1990,2,2
"265",1990,3,2
"266",1990,2,2
"267",1990,1,3
"268",1990,4,2
"269",1990,5,3
"270",1990,2,1
"271",1990,1,2
"272",1990,1,1
"273",1990,3,1
"274",1990,4,2
"275",1990,2,2
"276",1990,5,4
"277",1990,1,1
"278",1990,2,1
"279",1990,3,1
"280",1990,2,2
"281",1990,3,3
"282",1990,3,2
"283",1990,3,2
"284",1990,2,2
"285",1990,2,2
"286",1990,2,2
"287",1990,1,1
"288",1990,2,2
"289",1990,3,3
"290",1990,1,1
"291",1990,5,5
"292",1990,5,3
"293",1990,3,2
"294",1990,2,1
"295",1990,1,2
"296",1990,2,2
"297",1990,2,3
"298",1990,1,1
